player_id,n_games,skill_start,skill_end,skill_change,skill_volatility,avg_yards
00-0033550,1,5.1298987149230735,5.1298987149230735,0,NA,168
00-0033662,17,0,0,0,0,351.05882352941177
00-0033869,22,0,0,0,0,331.8181818181818
00-0033873,102,0,0,0,0,492.3529411764706
00-0033936,6,0,0,0,0,159.83333333333334
00-0033949,17,0,0,0,0,333.2352941176471
00-0033958,1,4.74493212836325,4.74493212836325,0,NA,114
00-0034177,6,0,0,0,0,162.66666666666666
00-0034401,8,0,0,0,0,405.25
00-0034577,4,5.398725083245716,5.398725083245716,0,0,222.5
00-0034771,14,0,0,0,0,320.85714285714283
00-0034796,81,0,0,0,0,402.81481481481484
00-0034855,86,0,0,0,0,417.4186046511628
00-0034857,99,0,0,0,0,460.979797979798
00-0034869,53,0,0,0,0,392.9811320754717
00-0034899,3,5.331805114405497,5.331805114405497,0,0,207
00-0034955,4,5.26926519912713,5.26926519912713,0,0,198.5
00-0035040,2,5.302834401362972,5.302834401362972,0,0,201
00-0035100,8,0,0,0,0,475.5
00-0035146,2,4.9744216271284625,4.9744216271284625,0,0,156
00-0035228,70,0,0,0,0,451.3285714285714
00-0035232,7,0,0,0,0,403.85714285714283
00-0035264,4,5.580458269285777,5.580458269285777,0,0,270
00-0035282,6,0,0,0,0,376.3333333333333
00-0035289,40,0,0,0,0,401.4
00-0035704,25,0,0,0,0,365.16
00-0035710,61,0,0,0,0,382.8196721311475
00-0035752,2,4.587149300314458,4.587149300314458,0,0,97.5
00-0035939,1,4.61512051684126,4.61512051684126,0,NA,100
00-0035993,16,0,0,0,0,237.9375
00-0036197,2,3.951243718581427,3.951243718581427,0,0,64
00-0036212,66,0,0,0,0,468.5
00-0036264,38,0,0,0,0,421.8157894736842
00-0036312,3,5.29333024483465,5.29333024483465,0,0,208
00-0036355,86,0,0,0,0,496.5232558139535
00-0036384,1,5.198497031265826,5.198497031265826,0,NA,180
00-0036389,77,0,0,0,0,399.7012987012987
00-0036442,81,0,0,0,0,491.7037037037037
00-0036879,3,5.099922042420015,5.099922042420015,0,0,171
00-0036898,31,0,0,0,0,380.38709677419354
00-0036929,1,4.912654885736052,4.912654885736052,0,NA,135
00-0036945,45,0,0,0,0,339.6222222222222
00-0036971,65,0,0,0,0,432.2153846153846
00-0036972,53,0,0,0,0,402.8679245283019
00-0037012,5,0,0,0,0,201.2
00-0037013,35,0,0,0,0,357.4
00-0037077,19,0,0,0,0,424.2631578947368
00-0037175,1,5.659482215759621,5.659482215759621,0,NA,286
00-0037327,5,0,0,0,0,149.8
00-0037834,45,0,0,0,0,450.8888888888889
00-0038102,26,0,0,0,0,347.84615384615387
00-0038108,12,0,0,0,0,278.0833333333333
00-0038122,20,0,0,0,0,331.8
00-0038128,3,4.770941773234106,4.770941773234106,0,0,127
00-0038400,1,5.598421958998375,5.598421958998375,0,NA,269
00-0038416,5,0,0,0,0,327
00-0038476,9,0,0,0,0,264.22222222222223
00-0038579,19,0,0,0,0,392.1578947368421
00-0038582,1,4.07753744390572,4.07753744390572,0,NA,58
00-0038583,6,0,0,0,0,138.16666666666666
00-0038998,1,4.812184355372417,4.812184355372417,0,NA,122
00-0039150,30,0,0,0,0,350.2
00-0039152,20,0,0,0,0,383.4
00-0039163,37,0,0,0,0,448.5405405405405
00-0039164,12,0,0,0,0,320.75
00-0039376,8,0,0,0,0,329.25
00-0039398,1,5.488937726156687,5.488937726156687,0,NA,241
00-0039732,19,0,0,0,0,404.94736842105266
00-0039851,11,0,0,0,0,409.72727272727275
00-0039910,19,0,0,0,0,416.5263157894737
00-0039917,3,5.490351740478993,5.490351740478993,0,0,245.66666666666666
00-0039918,18,0,0,0,0,393.44444444444446
